,,,,,,,Date: 27/02/2026,
Text name,,,From,,, To ,,
BÁO GIÁ,,,"CÔNG TY CỔ PHẦN HOCHI VIỆT NAM
Office: Tầng 4 tòa nhà Vimeco - Phạm Hùng, Yên Hòa, Hà Nội
Factory: Ngõ 41 Đường Tả Thanh Oai - Đại Thanh - TP. Hà Nội
Phone : 0326908884.  Hotline: 0917087055
Website: noithathochi.com               Email: noithathochi@gmail.com",,, Add: Mr Đạo ,,
,,,,,,,,
STT,Hạng mục,"Kích thước
(DxRxC mm)",Chất liệu,Sản xuất,Đơn vị, Số lượng ,"Đơn giá
(VNĐ)","Thành tiền
(VNĐ)"
I,NỘI THẤT PHÒNG NGỦ,,,,,,,  23.510.670 
1,Giường ngủ,1800x2000x950,"* Gỗ MDF xanh chống ẩm phủ Melamin màu ghi đậm
* Chưa bao gồm phụ kiện ray, bản lề",Việt Nam,Chiếc,"1,00",  5.500.000 ,  5.500.000 
2,Tab ngăn kéo,400x500x615,"* Gỗ MDF xanh chống ẩm phủ Melamin màu ghi đậm
* Chưa bao gồm phụ kiện ray, bản lề",Việt Nam,Chiếc,"1,00",  850.000 ,  850.000 
3,Bàn trang điểm,1200x500x130,"* Gỗ MDF xanh chống ẩm phủ Melamin màu ghi đậm
* Chưa bao gồm phụ kiện ray, bản lề",Việt Nam,Chiếc,"1,00",  1.550.000 ,  1.550.000 
4,Gương trang điểm,D600,* Gương tròn có led hắt sáng mặt dạng treo dây,Việt Nam,Chiếc,"1,00",  1.850.000 ,  1.850.000 
5,Tủ áo,3220x600x2315,"* Gỗ MDF xanh chống ẩm phủ Melamin màu ghi đậm
* Chưa bao gồm phụ kiện ray, bản lề",Việt Nam,m2,"7,44",  1.850.000 ,  13.760.670 
II,HẠNG MỤC KHÁC,,,,,,,  7.000.000 
3,Sàn gỗ,,* Sàn gỗ công nghiệp chống ẩm cao cấp,Việt Nam,m2,"20,00",  320.000 ,  6.400.000 
4,Phào nẹp kết thúc,,* Phào nẹp nhựa kết thúc,Việt Nam,md,"20,00",  30.000 ,  600.000 
TỔNG  GIÁ CHƯA VAT (VNĐ):,,,,,,,,  30.510.670 
Note,,,,,,,,
1. Đơn giá trên chưa bao gồm  thuế VAT ,,,,,,,,
2. Đơn giá trên bao gồm chi phí  vận chuyển lắp đặt hoàn thiện,,,,,,,,
3. Khối lượng quyết toán dựa trên khối lượng thi công nghiệm thu thực tế tại công trình,,,,,,,,
4. Thời gian hoàn thành công trình: 05 -7 ngày kể từ ngày xác nhận đặt hàng và tạm ứng.,,,,,,,,
5.  Điều kiện thanh toán: Thanh toán tiền mặt hoặc chuyển khoản,,,,,,,,
Lần 1: Tạm ứng 50% giá trị đơn hàng ngay sau khi ký đặt hàng,,,,,,,,
Lần  2: Quyết toán phần còn lại ngay sau khi ký nghiệm thu quyết toán,,,,,,,,
,,,,,,,,
    ĐẠI DIỆN CHỦ ĐẦU TƯ                                                                     CÔNG TY CỔ PHẦN HOCHI VIỆT NAM,,,,,,,,
